id,sku,upc,ean,jan,isbn,mpn,image,brand_id,supplier_id,price,cost,stock,sold,minimum,weight_class,weight,length_class,length,width,height,kind,property,tax_id,status,sort,view,alias,category_store_id,store_id,date_lastview,date_available,created_at,updated_at,namebn,keysbn,nameen,keysen
396, 'MTBD105212', NULL, NULL, NULL, NULL, NULL, '/data/product/Johnsons-Lavender-Baby-Shampoo-300ml.jpg', 0, 0, 450.00, 0.00, 10, 0, 0, 'ml', 300, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'johnsons-lavender-baby-shampoo', 0, 1, '2022-04-27 08:33:34', '2022-04-27', '2022-04-27 08:33:34'," '2022-04-27 08:33:34",জনসন ল্যাভেন্ডার বেবি শ্যাম্পু,"['জনসন', 'ল্যাভেন্ডার', 'বেবি', 'শ্যাম্পু']",Johnsons Lavender Baby Shampoo,"['Johnsons', 'Lavender', 'Baby', 'Shampoo']"
397, 'MTBD105213', NULL, NULL, NULL, NULL, NULL, '/data/product/Sebamed-Baby-Shampoo-150ml.jpg', 0, 0, 630.00, 0.00, 10, 0, 0, 'ml', 150, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'sebamed-baby-shampoo-', 0, 1, '2022-04-27 08:33:34', '2022-04-27', '2022-04-27 08:33:34'," '2022-04-27 08:33:34",সেবামেড বেবি শ্যাম্পু,"['সেবামেড', 'বেবি', 'শ্যাম্পু']",Sebamed Baby Shampoo ,"['Sebamed', 'Baby', 'Shampoo', '']"
398, 'MTBD105214', NULL, NULL, NULL, NULL, NULL, '/data/product/Johnsons-Dulces-Suenos-Baby-Shampoo-500ml.jpg', 0, 0, 780.00, 0.00, 10, 0, 0, 'ml', 500, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'johnsons-dulces-suenos-baby-shampoo-', 0, 1, '2022-04-27 08:33:34', '2022-04-27', '2022-04-27 08:33:34'," '2022-04-27 08:33:34",জনসন ডুলসেস সুয়েনোস বেবি শ্যাম্পু,"['জনসন', 'ডুলসেস', 'সুয়েনোস', 'বেবি', 'শ্যাম্পু']",Johnsons Dulces Suenos Baby Shampoo ,"['Johnsons', 'Dulces', 'Suenos', 'Baby', 'Shampoo', '']"
399, 'MTBD105215', NULL, NULL, NULL, NULL, NULL, '/data/product/Johnsons-Camomile-Baby-Shampoo-500ml.jpg', 0, 0, 650.00, 0.00, 10, 0, 0, 'ml', 500, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'johnsons-camomile-baby-shampoo', 0, 1, '2022-04-27 08:33:34', '2022-04-27', '2022-04-27 08:33:34'," '2022-04-27 08:33:34",জনসন ক্যামোমিল বেবি শ্যাম্পু,"['জনসন', 'ক্যামোমিল', 'বেবি', 'শ্যাম্পু']",Johnsons Camomile Baby Shampoo,"['Johnsons', 'Camomile', 'Baby', 'Shampoo']"
400, 'MTBD105216', NULL, NULL, NULL, NULL, NULL, '/data/product/Johnsons-Gotas-De-Fuerza-Baby-Shampoo-500ml.png', 0, 0, 780.00, 0.00, 10, 0, 0, 'ml', 500, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'johnsons-gotas-de-fuerza-baby-shampoo', 0, 1, '2022-04-27 08:33:34', '2022-04-27', '2022-04-27 08:33:34'," '2022-04-27 08:33:34",জনসন গোটাস ডি ফুয়ের্জা বেবি শ্যাম্পু,"['জনসন', 'গোটাস', 'ডি', 'ফুয়ের্জা', 'বেবি', 'শ্যাম্পু']",Johnsons Gotas De Fuerza Baby Shampoo,"['Johnsons', 'Gotas', 'De', 'Fuerza', 'Baby', 'Shampoo']"
401, 'MTBD105217', NULL, NULL, NULL, NULL, NULL, '/data/product/Sunsilk-Instant-Restore-Conditioner-350ml.jpg', 0, 0, 695.00, 0.00, 10, 0, 0, 'ml', 350, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'sunsilk-instant-restore-conditioner', 0, 1, '2022-04-27 08:33:34', '2022-04-27', '2022-04-27 08:33:34'," '2022-04-27 08:33:34",সানসিল্ক ইনস্ট্যান্ট রিস্টোর কন্ডিশনার,"['সানসিল্ক', 'ইনস্ট্যান্ট', 'রিস্টোর', 'কন্ডিশনার']",Sunsilk Instant Restore Conditioner,"['Sunsilk', 'Instant', 'Restore', 'Conditioner']"
402, 'MTBD105218', NULL, NULL, NULL, NULL, NULL, '/data/product/Sunsilk-Strength&Shine-Coditioner-350ml.jpg', 0, 0, 695.00, 0.00, 10, 0, 0, 'ml', 350, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'sunsilk-strength-&-shine-coditioner', 0, 1, '2022-04-27 08:33:34', '2022-04-27', '2022-04-27 08:33:34'," '2022-04-27 08:33:34",সানসিল্ক স্ট্রেন্থ অ্যান্ড শাইন কন্ডিশনার,"['সানসিল্ক', 'স্ট্রেন্থ', 'অ্যান্ড', 'শাইন', 'কন্ডিশনার']",Sunsilk Strength & Shine Coditioner,"['Sunsilk', 'Strength', '&', 'Shine', 'Coditioner']"
403, 'MTBD105219', NULL, NULL, NULL, NULL, NULL, '/data/product/Sunsilk-Perfect-Straight-Conditioner-80ml.jpg', 0, 0, 65.00, 0.00, 10, 0, 0, 'ml', 80, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'sunsilk-perfect-straight-conditioner', 0, 1, '2022-04-27 08:33:34', '2022-04-27', '2022-04-27 08:33:34'," '2022-04-27 08:33:34",সানসিল্ক পারফেক্ট স্ট্রেইট কন্ডিশনার,"['সানসিল্ক', 'পারফেক্ট', 'স্ট্রেইট', 'কন্ডিশনার']",Sunsilk Perfect Straight Conditioner,"['Sunsilk', 'Perfect', 'Straight', 'Conditioner']"
404, 'MTBD105220', NULL, NULL, NULL, NULL, NULL, '/data/product/Dove-Purify&Strengthen-Conditioner-355ml.jpg', 0, 0, 695.00, 0.00, 10, 0, 0, 'ml', 355, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'dove-purify-&-strengthen-conditioner', 0, 1, '2022-04-27 08:33:34', '2022-04-27', '2022-04-27 08:33:34'," '2022-04-27 08:33:34",ডোভ পিউরিফাই অ্যান্ড কন্ডিশনার,"['ডোভ', 'পিউরিফাই', 'অ্যান্ড', 'কন্ডিশনার']",Dove Purify & Strengthen Conditioner,"['Dove', 'Purify', '&', 'Strengthen', 'Conditioner']"
405, 'MTBD105221', NULL, NULL, NULL, NULL, NULL, '/data/product/Dove-Coconut-Hydration-Conditioner-355ml.png', 0, 0, 695.00, 0.00, 10, 0, 0, 'ml', 355, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'dove-coconut-hydration-conditioner-', 0, 1, '2022-04-27 08:33:34', '2022-04-27', '2022-04-27 08:33:34'," '2022-04-27 08:33:34",ডোভ কোকোনাট হাইড্রেশন কন্ডিশনার,"['ডোভ', 'কোকোনাট', 'হাইড্রেশন', 'কন্ডিশনার']",Dove Coconut Hydration Conditioner ,"['Dove', 'Coconut', 'Hydration', 'Conditioner', '']"
